State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Latitude,Longitude
Kerala,176,11,0,165,27-03-2020 18.07,10.8505,76.2711
Maharashtra,156,19,4,133,27-03-2020 18.42,19.7515,75.7139
Karnataka,64,5,3,56,27-03-2020 19.02,15.3173,75.7139
Telangana,59,1,0,58,27-03-2020 17.22,18.1124,79.0193
Uttar Pradesh,49,11,0,38,27-03-2020 18.42,26.8467,80.9462
Rajasthan,45,3,0,42,27-03-2020 9.42,27.0238,74.2179
Gujarat,44,0,3,41,27-03-2020 9.52,22.2587,71.1924
Delhi,39,6,1,32,26-03-2020 12.21,28.7041,77.1025
Punjab,38,0,1,37,27-03-2020 18.07,31.1471,75.3412
Tamil Nadu,35,1,1,33,27-03-2020 12.27,11.1271,78.6569
Haryana,33,11,0,22,27-03-2020 17.32,29.0588,76.0856
Madhya Pradesh,27,0,2,25,27-03-2020 19.02,22.9734,78.6569
Jammu and Kashmir,18,1,1,16,27-03-2020 17.12,33.7782,76.5762
Ladakh,13,3,0,10,27-03-2020 11.52,34.152588,77.577049
Andhra Pradesh,12,1,0,11,27-03-2020 11.52,15.9129,79.74
West Bengal,10,0,1,9,26-03-2020 7.19,22.9868,87.855
Bihar,9,0,1,8,27-03-2020 10.12,25.0961,85.3131
Chandigarh,7,0,0,7,26-03-2020 7.19,30.7333,76.7794
Chhattisgarh,6,0,0,6,26-03-2020 7.19,21.2787,81.8661
Uttarakhand,5,0,0,5,26-03-2020 7.19,30.0668,79.0193
Himachal Pradesh,3,0,1,2,26-03-2020 7.19,31.1048,77.1734
Goa,3,0,0,3,26-03-2020 7.19,15.2993,74.124
Odisha,3,0,0,3,26-03-2020 7.19,20.9517,85.0985
Andaman and Nicobar Islands,6,0,0,6,27-03-2020 18.42,11.7401,92.6586
Puducherry,1,0,0,1,26-03-2020 7.19,11.9416,79.8083
Manipur,1,0,0,1,26-03-2020 7.19,24.6637,93.9063
Mizoram,1,0,0,1,26-03-2020 7.19,23.1645,92.9376
Assam,0,0,0,0,26-03-2020 7.19,26.2006,92.9376
Meghalaya,0,0,0,0,26-03-2020 7.19,25.467,91.3662
Tripura,0,0,0,0,26-03-2020 7.19,23.9408,91.9882
Arunachal Pradesh,0,0,0,0,26-03-2020 7.19,28.218,94.7278
Jharkhand,0,0,0,0,26-03-2020 7.19,23.6102,85.2799
Nagaland,0,0,0,0,26-03-2020 7.19,26.1584,94.5624
Sikkim,0,0,0,0,26-03-2020 7.19,27.533,88.5122
Dadra and Nagar Haveli,0,0,0,0,26-03-2020 7.19,20.1809,73.0169
